1,"EUM 1","CL","FRANCESCO SCRIMIERI","SN",7467,"47014","PR"
2,"EUM 2","CL","RIGOBERTO CORTEJOSO","14",7467,"47014","PR"
3,"PRESIDENCIA","CL","SANTIAGO ALBA","1",7467,"47008","PR"
4,"HOSPITAL MILITAR","PS","ZORRILLA","1",7467,"47007","PR"
5,"EDUCACION","AV","MONASTERIO DEL PRADO","SN",7467,"47014","PR"
